Date,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+-
20230201,keon johnson,Portland Trail Blazers,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230201,dillon brooks,Memphis Grizzlies,38:10,4,9,.444,1,6,.167,0,0,0,0,1,1,2,1,0,0,5,9,5.0,-6
20230201,ja morant,Memphis Grizzlies,34:22,8,16,.500,3,7,.429,13,18,.722,2,7,9,12,1,0,5,2,32,29.1,-6
20230201,jaren jackson jr.,Memphis Grizzlies,33:45,9,14,.643,0,3,.000,0,0,0,0,7,7,0,0,6,0,3,18,16.9,+2
20230201,xavier tillman sr.,Memphis Grizzlies,27:53,1,4,.250,0,0,0,2,3,.667,4,6,10,5,4,0,2,2,4,10.5,+12
20230201,desmond bane,Memphis Grizzlies,25:32,7,16,.438,2,7,.286,1,1,1.000,0,0,0,3,1,1,3,4,17,7.8,-10
20230201,ziaire williams,Memphis Grizzlies,18:50,2,5,.400,1,4,.250,0,0,0,0,1,1,0,0,0,0,1,5,2.2,-2
20230201,santi aldama,Memphis Grizzlies,17:32,5,7,.714,0,2,.000,0,0,0,0,2,2,0,0,0,0,0,10,7.7,-15
20230201,tyus jones,Memphis Grizzlies,17:14,1,6,.167,1,4,.250,3,4,.750,0,3,3,3,0,0,1,0,6,3.8,-4
20230201,brandon clarke,Memphis Grizzlies,16:50,3,6,.500,0,0,0,2,2,1.000,5,2,7,2,0,0,0,3,8,9.3,-19
20230201,danny green,Memphis Grizzlies,9:52,1,4,.250,1,4,.250,0,0,0,1,3,4,1,1,0,1,2,3,2.1,-2
20230201,kennedy chandler,Memphis Grizzlies,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230201,jake laravia,Memphis Grizzlies,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230201,kenneth lofton jr.,Memphis Grizzlies,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230201,david roddy,Memphis Grizzlies,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230301,josh okogie,Phoenix Suns,33:24,0,4,.000,0,2,.000,4,4,1.000,0,3,3,1,2,1,2,1,4,3.1,+11
20230301,deandre ayton,Phoenix Suns,33:20,7,10,.700,0,0,0,2,2,1.000,1,15,16,4,0,1,1,5,16,17.5,+9
20230301,devin booker,Phoenix Suns,33:10,15,26,.577,3,7,.429,4,6,.667,2,4,6,7,0,2,1,1,37,31.5,+9
20230301,chris paul,Phoenix Suns,32:51,1,8,.125,0,4,.000,0,0,0,0,2,2,11,2,0,3,2,2,3.3,+9
20230301,kevin durant,Phoenix Suns,26:50,10,15,.667,2,4,.500,1,1,1.000,0,6,6,2,0,2,2,0,23,19.1,+13
20230301,cameron payne,Phoenix Suns,15:09,2,6,.333,1,3,.333,0,0,0,0,4,4,2,0,0,1,2,5,2.4,+5
20230301,torrey craig,Phoenix Suns,14:41,3,4,.750,2,2,1.000,0,0,0,1,1,2,0,2,0,1,1,8,8.0,-8
20230301,jock landale,Phoenix Suns,14:40,2,7,.286,1,1,1.000,1,2,.500,0,3,3,2,0,2,0,3,6,4.0,+5
20230301,damion lee,Phoenix Suns,14:36,1,2,.500,0,0,0,0,0,0,0,3,3,0,0,0,0,3,2,0.7,+3
20230301,t.j. warren,Phoenix Suns,12:55,1,5,.200,0,1,.000,0,0,0,1,2,3,0,1,1,1,1,2,0.5,+15
20230301,ish wainright,Phoenix Suns,8:24,0,2,.000,0,1,.000,0,0,0,0,0,0,1,1,0,0,3,0,-0.9,-1
20230301,darius bazley,Phoenix Suns,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230301,bismack biyombo,Phoenix Suns,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230301,saben lee,Phoenix Suns,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230301,terry rozier,Charlotte Hornets,38:11,7,18,.389,3,9,.333,3,7,.429,0,6,6,5,0,0,6,1,20,7.5,-8
20230301,kelly oubre jr.,Charlotte Hornets,38:06,9,24,.375,3,10,.300,5,5,1.000,3,6,9,1,0,1,1,4,26,15.5,-9
20230301,gordon hayward,Charlotte Hornets,33:08,5,14,.357,3,8,.375,2,4,.500,0,2,2,4,1,0,1,1,15,9.4,-9
20230301,jt thor,Charlotte Hornets,28:32,1,8,.125,0,2,.000,0,0,0,2,6,8,1,0,1,1,1,2,0.0,-10
20230301,mark williams,Charlotte Hornets,28:06,4,10,.400,0,0,0,3,4,.750,5,5,10,2,1,1,1,4,11,10.7,-2
20230301,dennis smith jr.,Charlotte Hornets,26:15,2,7,.286,0,2,.000,4,6,.667,0,5,5,6,1,2,0,2,8,10.4,-11
20230301,nick richards,Charlotte Hornets,19:54,1,2,.500,0,0,0,0,0,0,1,1,2,0,0,2,1,2,2,1.6,-12
20230301,bryce mcgowens,Charlotte Hornets,14:52,1,2,.500,0,1,.000,1,2,.500,0,2,2,0,0,0,1,0,3,1.2,-5
20230301,kai jones,Charlotte Hornets,12:56,2,3,.667,0,1,.000,0,0,0,1,3,4,1,0,0,1,2,4,3.2,-4
20230301,svi mykhailiuk,Charlotte Hornets,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230401,luka doncic,Dallas Mavericks,44:31,17,25,.680,2,6,.333,6,7,.857,0,10,10,8,2,0,3,4,42,36.9,-6
20230401,kyrie irving,Dallas Mavericks,42:30,10,17,.588,1,4,.250,2,2,1.000,0,3,3,8,0,0,1,3,23,19.4,+4
20230401,tim hardaway jr.,Dallas Mavericks,40:31,11,15,.733,6,10,.600,3,4,.750,0,6,6,7,0,0,1,2,31,29.4,+10
20230401,reggie bullock,Dallas Mavericks,23:17,1,5,.200,0,4,.000,0,0,0,0,2,2,3,0,0,0,1,2,1.2,-11
20230401,dwight powell,Dallas Mavericks,17:13,1,1,1.000,0,0,0,0,0,0,1,2,3,1,0,1,1,4,2,1.8,-2
20230401,maxi kleber,Dallas Mavericks,27:00,3,4,.750,2,3,.667,0,0,0,0,5,5,3,1,0,3,3,8,6.8,+2
20230401,josh green,Dallas Mavericks,21:53,0,2,.000,0,1,.000,0,0,0,0,1,1,0,0,0,1,3,0,-3.3,-4
20230401,christian wood,Dallas Mavericks,12:31,3,5,.600,2,3,.667,0,0,0,0,1,1,2,0,1,1,1,8,6.7,-16
20230401,jaden hardy,Dallas Mavericks,6:21,1,2,.500,1,2,.500,0,0,0,0,0,0,0,0,0,3,2,3,-1.8,-12
20230401,justin holiday,Dallas Mavericks,4:13,0,1,.000,0,1,.000,3,3,1.000,0,0,0,0,0,0,0,0,3,2.3,0
20230401,davis bertans,Dallas Mavericks,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230401,a.j. lawson,Dallas Mavericks,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230401,javale mcgee,Dallas Mavericks,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230401,markieff morris,Dallas Mavericks,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230401,theo pinson,Dallas Mavericks,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230401,jimmy butler,Miami Heat,37:00,12,16,.750,1,3,.333,10,11,.909,0,3,3,12,1,0,0,2,35,37.7,+6
20230401,tyler herro,Miami Heat,36:21,5,16,.313,2,8,.250,3,3,1.000,1,5,6,3,1,0,2,1,15,8.7,-1
20230401,max strus,Miami Heat,30:09,6,11,.545,6,9,.667,0,0,0,1,3,4,1,0,0,2,3,18,11.8,-7
20230401,cody zeller,Miami Heat,28:37,9,13,.692,0,1,.000,2,3,.667,3,5,8,0,1,0,0,2,20,17.9,-1
20230401,gabe vincent,Miami Heat,26:03,3,8,.375,2,5,.400,1,1,1.000,2,2,4,2,0,0,1,1,9,6.6,+6
20230401,caleb martin,Miami Heat,33:16,4,4,1.000,0,0,0,0,0,0,0,1,1,1,1,0,1,4,8,6.2,+1
20230401,kyle lowry,Miami Heat,26:56,1,8,.125,0,5,.000,4,5,.800,2,2,4,7,1,0,0,0,6,8.3,+14
20230401,kevin love,Miami Heat,19:23,5,9,.556,2,5,.400,6,6,1.000,1,4,5,1,1,0,2,2,18,14.5,+8
20230401,duncan robinson,Miami Heat,2:15,0,1,.000,0,1,.000,0,0,0,0,1,1,0,0,0,0,1,0,-0.8,+9
20230401,udonis haslem,Miami Heat,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230401,haywood highsmith,Miami Heat,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230401,victor oladipo,Miami Heat,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230401,omer yurtseven,Miami Heat,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230501,tobias harris,Philadelphia 76ers,41:35,8,16,.500,2,5,.400,0,0,0,0,5,5,3,1,1,0,1,18,14.9,0
20230501,james harden,Philadelphia 76ers,39:21,17,30,.567,7,14,.500,4,4,1.000,0,1,1,6,2,0,3,4,45,32.7,+8
20230501,paul reed,Philadelphia 76ers,37:22,3,4,.750,0,0,0,4,4,1.000,4,9,13,2,1,1,0,4,10,15.4,+8
20230501,p.j. tucker,Philadelphia 76ers,36:37,0,0,0,0,0,0,0,0,0,2,3,5,1,2,0,1,4,0,2.4,+6
20230501,tyrese maxey,Philadelphia 76ers,35:49,10,24,.417,2,9,.222,4,4,1.000,0,1,1,2,4,0,0,5,26,16.9,+12
20230501,de'anthony melton,Philadelphia 76ers,24:36,6,10,.600,5,6,.833,0,0,0,1,0,1,2,0,2,1,2,17,14.1,-8
20230501,georges niang,Philadelphia 76ers,13:27,1,3,.333,1,3,.333,0,0,0,0,1,1,1,0,0,1,0,3,1.3,+2
20230501,jalen mcdaniels,Philadelphia 76ers,11:13,0,2,.000,0,1,.000,0,0,0,1,0,1,0,0,0,0,0,0,-0.7,-8
20230501,dewayne dedmon,Philadelphia 76ers,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230501,montrezl harrell,Philadelphia 76ers,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230501,danuel house jr.,Philadelphia 76ers,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230501,furkan korkmaz,Philadelphia 76ers,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230501,shake milton,Philadelphia 76ers,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230501,jaden springer,Philadelphia 76ers,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230501,jayson tatum,Boston Celtics,43:45,14,25,.560,4,5,.800,7,8,.875,2,9,11,5,1,1,1,2,39,34.2,-6
20230501,jaylen brown,Boston Celtics,41:38,8,10,.800,3,4,.750,4,4,1.000,1,5,6,4,1,0,4,1,23,20.8,-2
20230501,marcus smart,Boston Celtics,35:15,4,7,.571,0,2,.000,4,4,1.000,1,2,3,7,0,0,6,3,12,7.7,-7
20230501,al horford,Boston Celtics,30:03,5,8,.625,1,4,.250,0,0,0,3,3,6,3,0,3,2,0,11,12.6,-17
20230501,derrick white,Boston Celtics,27:08,1,5,.200,0,4,.000,2,2,1.000,0,2,2,3,1,0,2,2,4,1.8,-15
20230501,malcolm brogdon,Boston Celtics,33:51,9,16,.563,2,6,.333,0,0,0,1,2,3,3,0,0,1,1,20,14.4,+14
20230501,robert williams,Boston Celtics,19:46,3,3,1.000,0,0,0,0,0,0,0,7,7,0,0,0,0,1,6,6.8,+8
20230501,sam hauser,Boston Celtics,4:33,0,1,.000,0,1,.000,0,0,0,0,0,0,1,0,0,0,0,0,0.0,+3
20230501,grant williams,Boston Celtics,4:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,+2
20230501,justin champagnie,Boston Celtics,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230501,blake griffin,Boston Celtics,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230501,luke kornet,Boston Celtics,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230501,mike muscala,Boston Celtics,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230501,payton pritchard,Boston Celtics,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230601,bam adebayo,Miami Heat,39:58,13,25,.520,0,1,.000,0,0,0,4,9,13,5,0,0,1,4,26,20.1,-6
20230601,jimmy butler,Miami Heat,38:02,6,14,.429,1,2,.500,0,0,0,3,4,7,7,1,1,1,1,13,14.1,-17
20230601,gabe vincent,Miami Heat,37:43,7,14,.500,5,10,.500,0,0,0,1,1,2,5,0,1,1,1,19,15.8,0
20230601,caleb martin,Miami Heat,24:34,1,7,.143,1,2,.500,0,0,0,1,3,4,0,1,1,0,3,3,0.6,-10
20230601,max strus,Miami Heat,21:01,0,10,.000,0,9,.000,0,0,0,0,5,5,3,0,0,0,0,0,-3.4,-12
20230601,kyle lowry,Miami Heat,25:35,4,8,.500,3,6,.500,0,0,0,0,5,5,5,1,0,2,1,11,10.6,+2
20230601,haywood highsmith,Miami Heat,23:24,7,10,.700,2,4,.500,2,2,1.000,1,1,2,0,2,1,1,2,18,15.7,-3
20230601,duncan robinson,Miami Heat,21:09,1,6,.167,1,5,.200,0,0,0,0,1,1,1,0,0,1,2,3,-1.6,-4
20230601,cody zeller,Miami Heat,7:30,0,1,.000,0,0,0,0,0,0,1,2,3,0,0,0,1,1,0,-0.8,-5
20230601,nikola jovic,Miami Heat,0:32,0,1,.000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.4,0
20230601,omer yurtseven,Miami Heat,0:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
20230601,udonis haslem,Miami Heat,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230601,kevin love,Miami Heat,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230601,jamal murray,Denver Nuggets,44:04,11,22,.500,2,7,.286,2,2,1.000,1,5,6,10,1,0,3,2,26,21.4,+9
20230601,michael porter jr.,Denver Nuggets,43:04,5,16,.313,2,11,.182,2,2,1.000,2,11,13,1,0,2,0,0,14,11.6,+20
20230601,nikola jokic,Denver Nuggets,40:27,8,12,.667,1,2,.500,10,12,.833,0,10,10,14,1,1,2,1,27,33.1,+14
20230601,kentavious caldwell-pope,Denver Nuggets,36:27,3,8,.375,1,3,.333,0,2,.000,1,2,3,0,1,0,1,2,7,2.3,+5
20230601,aaron gordon,Denver Nuggets,36:05,7,10,.700,0,1,.000,2,2,1.000,2,4,6,1,0,1,0,0,16,15.8,+15
20230601,bruce brown,Denver Nuggets,20:45,4,7,.571,2,3,.667,0,0,0,0,5,5,2,1,0,3,1,10,7.2,+1
20230601,jeff green,Denver Nuggets,10:57,2,3,.667,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,3.0,-8
20230601,christian braun,Denver Nuggets,8:11,0,1,.000,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,-1.5,-1
20230601,thomas bryant,Denver Nuggets,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230601,vlatko cancar,Denver Nuggets,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230601,reggie jackson,Denver Nuggets,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230601,deandre jordan,Denver Nuggets,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230601,zeke nnaji,Denver Nuggets,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230601,ish smith,Denver Nuggets,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20230601,peyton watson,Denver Nuggets,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
